"","Accuracy in %","Q13","Q14","Q15"
"1",0.3,"Undergraduate","Yes","Difficult"
"2",0.1,"Graduate","No","Neither easy nor difficult"
"3",0.5,"Undergraduate","Yes","Slightly difficult"
"4",0.1,"Undergraduate","No","Difficult"
"5",0.5,"Undergraduate","Yes","Neither easy nor difficult"
"6",0.5,"Undergraduate","Maybe","Slightly difficult"
"7",0.5,"Graduate","No","Neither easy nor difficult"
"8",0.2,"Undergraduate","Yes","Difficult"
"9",0.8,"Undergraduate","Yes","Slightly difficult"
"10",0,"Graduate","Yes","Slightly easy"
"11",0.1,"Undergraduate","Yes","Slightly difficult"
"12",0.2,"Undergraduate","No","Difficult"
"13",0.1,"Graduate","No","Difficult"
"14",0.7,"Graduate","No","Difficult"
"15",0.1,"Graduate","No","Difficult"
"16",0.7,"Undergraduate","Yes","Slightly difficult"
"17",0.3,"Graduate","Maybe","Difficult"
"18",0,"Graduate","Yes","Neither easy nor difficult"
"19",0.4,"Graduate","Yes","Neither easy nor difficult"
"20",0.3,"Graduate","Maybe","Slightly difficult"
"21",0,"Graduate","Maybe","Difficult"
"22",0.2,"Graduate","Yes","Slightly difficult"
"23",0.6,"Graduate","No","Slightly difficult"
"24",0.6,"Graduate","Maybe","Slightly difficult"
"25",0.5,"Graduate","Yes","Slightly difficult"
"26",1,"Graduate","Yes","Neither easy nor difficult"
"27",0.3,"Graduate","Maybe","Difficult"
"28",0.1,"Graduate","Yes","Difficult"
"29",0.5,"Graduate","Maybe","Difficult"
"30",0.6,"Graduate","Maybe","Slightly difficult"
"31",0.5,"Graduate","Maybe","Neither easy nor difficult"
"32",0.3,"Graduate","Maybe","Slightly difficult"
"33",0,"Graduate","Yes","Slightly difficult"
"34",0.1,"Graduate","No","Difficult"
"35",0.5,"Graduate","Yes","Difficult"
"36",0.5,"Graduate","Yes","Slightly difficult"
"37",0.5,"Graduate","Yes","Slightly difficult"
"38",0.5,"Undergraduate","No","Difficult"
"39",0.5,"Graduate","Yes","Neither easy nor difficult"
"40",0.5,"Graduate","Yes","Slightly difficult"
